Step,Value
685,-198.0576171875
760,-155.674377441406
1181,-159.504501342773
1557,-96.4813690185547
1646,-319.258605957031
1987,-151.081039428711
2062,-119.784461975098
2133,-95.9301910400391
2518,-145.887557983398
3804,-93.1831893920898
4200,-372.468475341797
4327,-282.151275634766
4538,-362.294860839844
4607,-193.521194458008
4785,-168.798461914063
5355,-304.470306396484
5446,-164.983123779297
5526,-249.495223999023
5629,-119.881080627441
5745,-272.196319580078
6527,-40.9976921081543
6676,-131.605133056641
6784,-293.325500488281
7041,-90.1210098266602
7139,-137.081146240234
7200,-53.0648002624512
7295,-116.111839294434
7813,-355.843597412109
8212,-271.633605957031
8468,-92.6727066040039
8563,-158.875244140625
9100,-98.8237152099609
9846,-264.586608886719
10153,-186.512191772461
10258,-263.600006103516
10892,-104.802062988281
11216,-219.550170898437
11389,-82.2345123291016
11970,-70.8266067504883
12060,-385.446685791016
12368,-101.922927856445
12450,-180.621139526367
13123,-133.911407470703
13335,-237.506851196289
13500,-174.091232299805
13591,-143.345092773438
13691,-150.918380737305
14405,-69.5213851928711
14856,-120.456260681152
14995,-54.5410423278809
15135,-214.039123535156
15491,-196.530548095703
15961,-60.9023056030273
16069,-203.552780151367
16322,-285.807159423828
16865,-242.658432006836
16934,-94.3189239501953
17093,-102.811363220215
17472,-170.899658203125
17644,-204.577758789062
17757,-180.642227172852
17954,-223.654846191406
18201,-94.1141738891602
18291,-90.3843002319336
19016,-121.206283569336
19752,-80.5291366577148
19815,-88.4608917236328
19909,-12.9876194000244
20197,-326.232055664062
21112,-104.475852966309
21192,-254.792022705078
21370,-119.309906005859
21821,-137.974182128906
22140,-69.7781448364258
22224,-125.41951751709
22302,-111.088523864746
22518,-92.4512939453125
23648,-80.5521697998047
24182,-127.203811645508
24453,-138.494552612305
24616,-74.7626800537109
24683,-59.5090827941895
24938,-94.2362823486328
25283,-284.550872802734
25675,-174.300720214844
25894,-117.566619873047
26258,-286.719512939453
27444,-260.074554443359
27538,-121.660934448242
27968,-275.178863525391
28042,-129.7880859375
28377,-504.871765136719
28437,-68.8174743652344
28786,-177.248321533203
28893,-293.262786865234
29105,-284.310638427734
29359,-63.0590629577637
29831,-298.836029052734
29921,-268.471649169922
30012,-141.901580810547
30544,-203.525299072266
30630,-254.64372253418
30741,-313.747589111328
31046,-150.252380371094
31900,-108.902976989746
32117,-181.320205688477
32460,-109.778190612793
32649,-107.709594726563
33353,-116.618179321289
33451,-194.05842590332
33994,-397.551025390625
34257,-88.3719482421875
34622,-308.451110839844
34994,-134.312377929688
35250,-210.269393920898
35628,-180.631072998047
35699,-57.0907173156738
35821,-235.934753417969
35983,-303.953216552734
36367,-56.8532333374023
36896,-109.921211242676
36962,-93.9967956542969
37039,-106.64826965332
38517,-356.121276855469
39239,-112.912612915039
39839,-101.104286193848
39905,-185.897430419922
40036,-87.5950775146484
40173,-126.847831726074
40532,-197.744247436523
41458,-134.629638671875
41674,-226.896606445312
41770,-452.681182861328
41997,-140.969055175781
42682,-173.661102294922
43432,-156.289184570313
43497,-63.2988319396973
43814,-240.862548828125
43902,-381.290618896484
44324,-131.022323608398
44784,-79.3366928100586
44919,-38.5893783569336
45995,-63.1057662963867
46319,-366.047058105469
46391,-21.9911251068115
46586,-199.839416503906
46818,-93.6647720336914
47145,-211.265899658203
