Step,Value
1216,14
2545,12
2602,9
4448,10
4466,10
4494,9
4570,9
4596,9
4734,9
4761,9
4950,8
5027,10
5067,10
5261,11
5384,9
5487,10
5534,10
5562,9
5642,9
5746,9
5789,9
5808,9
5817,9
5854,10
5932,10
6015,10
6062,9
6163,9
6214,9
6262,9
6403,9
6462,10
6511,10
6576,10
6616,11
6635,10
6810,9
6856,10
6915,9
6963,10
6983,10
7057,10
7172,10
7257,9
7359,35
7640,10
7678,9
8427,428
12130,25
12161,31
12382,9
12401,10
12411,10
12439,9
12575,8
12602,9
12611,9
12707,10
12870,10
12888,9
13091,9
13118,8
13193,10
13253,10
13272,10
13302,10
13359,9
13407,10
13502,11
13559,10
13615,10
13651,9
13707,9
13726,9
13773,9
13782,9
13838,9
13925,9
14092,8
14111,9
14225,10
14291,9
14301,10
14320,9
14348,9
14366,9
14481,8
14508,8
14546,10
14575,10
14601,9
14638,9
14683,9
14729,10
14971,10
15008,8
15044,8
15053,9
15120,9
15204,10
15243,10
15283,11
15330,9
15370,10
15454,10
15491,10
15501,10
15510,9
15529,9
15538,9
15598,10
15644,10
15661,8
15708,9
15727,9
15763,9
15802,9
16014,9
16024,10
16033,9
16242,8
16281,10
16610,9
16660,10
16680,10
16737,9
16812,9
16868,8
16906,10
16972,11
16989,8
17043,9
17062,9
17196,10
17206,10
17301,10
17329,10
17416,10
17451,10
17490,10
17572,10
17582,10
17639,9
17649,10
17697,10
17808,9
17863,10
17891,10
17979,9
18007,9
18080,10
18682,500
21628,332
24373,291
24862,38
24986,29
25052,36
25854,500
26837,192
27140,78
27635,120
27754,119
28940,160
29653,44
30246,174
30310,64
31525,160
32605,149
35430,108
38646,110
38766,120
39271,169
39402,131
39603,201
42608,110
43595,109
43661,66
44146,76
44617,68
46537,60
46745,137
48135,170
51305,273
51852,161
52471,216
56895,168
57909,140
58628,91
59035,37
59451,40
59708,39
59831,53
60134,28
60231,37
60318,25
60405,25
60432,27
60944,22
61999,46
62083,26
62112,29
62194,40
62232,38
62914,29
63035,29
63204,22
63250,21
63356,21
63518,66
63673,36
64312,22
64343,31
64692,31
64863,19
64957,21
64999,21
65434,34
65813,73
67132,120
67258,126
67611,115
69711,37
69777,66
71354,111
71455,101
72405,104
73065,109
73521,120
74591,120
75348,114
75454,106
76002,113
76856,91
77724,129
78304,107
78958,133
79368,124
80198,180
80728,238
81218,10
81954,218
83320,145
83749,25
84451,107
85199,95
85513,95
85593,80
85622,29
85837,124
86172,108
87001,147
87847,65
88643,116
89008,11
89205,89
89308,13
89359,9
89387,10
89397,10
89406,9
89586,10
89667,9
89728,13
89852,52
89865,13
90159,23
90549,165
92549,230
93607,41
93930,103
95262,105
95641,123
96544,91
97121,13
97279,13
97321,12
97397,10
97406,9
97416,10
97823,11
97900,11
98093,9
98113,12
98136,12
98200,11
98235,13
98261,12
98299,13
98522,17
98553,13
98769,13
98786,17
98806,20
99029,16
99108,21
99184,15
99317,21
99394,17
99593,19
99651,22
99714,26
99784,21
101825,115
102890,105
103041,151
103540,118
103632,92
103804,78
103969,91
104336,91
104641,59
105026,106
105157,60
106835,80
107254,100
109988,100
110337,125
110360,23
110768,111
110957,103
111363,111
111902,20
112022,17
112080,14
112263,14
112749,13
112773,11
112799,13
112810,11
112905,18
112945,15
113034,10
113073,10
113204,9
113239,8
113256,9
113302,9
113312,10
113330,8
113357,9
113375,9
113394,11
113406,12
113482,12
113526,19
113805,60
114866,166
116052,60
116649,170
118226,500
118321,12
118350,29
119275,74
119332,57
120259,56
120915,11
121480,70
124725,10
124943,24
124953,10
124980,12
125081,9
125116,9
125209,9
125284,12
125293,9
125403,12
125482,10
125547,14
125556,9
125575,10
125594,10
125644,11
130977,9
130987,10
131084,9
131103,10
131141,9
131151,10
131282,9
131340,9
131385,9
131404,10
131423,9
131443,10
131570,10
131607,9
131625,8
131653,10
131747,10
131838,8
131858,10
131970,8
131978,8
131987,9
132060,8
132117,10
132278,9
132334,9
132344,10
132421,10
132476,9
132532,10
132576,9
132796,10
132817,10
132863,9
132911,10
133028,9
133090,8
133229,10
133344,10
133376,10
133432,9
133505,10
133514,9
133534,10
133618,10
133840,9
133849,9
133857,8
133920,8
134027,9
134046,10
134155,8
134164,9
134191,10
134210,10
134220,10
134487,8
134597,8
134607,10
134682,10
134692,10
134748,8
134778,10
134832,9
134871,9
135031,10
135050,9
135060,10
135070,10
135167,10
135338,9
135496,10
135563,10
135571,8
135597,9
135751,10
135788,9
135833,9
135851,9
135870,10
135888,9
135908,10
135945,8
135955,10
136055,9
136082,9
136155,10
136184,10
136194,10
136268,10
136413,10
136453,10
136472,9
136614,10
136740,10
136960,10
137100,10
137109,9
137165,9
137175,10
137221,9
137268,9
137305,8
137325,10
137478,9
137581,10
137649,8
137657,8
137724,9
137751,8
137976,10
138004,8
138069,9
138098,9
138107,9
138126,10
138134,8
138321,10
138368,10
138451,10
138469,9
138488,9
138551,8
138673,9
138691,9
138747,10
138823,10
138879,10
138889,10
138933,8
138982,10
139049,10
139155,8
139313,9
139332,9
139352,10
139380,9
139427,10
139585,10
139632,10
139841,9
139869,9
139913,10
139980,10
140018,9
140037,9
140096,9
140106,10
140160,10
140226,9
140282,10
140309,8
140468,10
140487,9
140580,8
140609,10
140627,8
140676,10
140823,8
140842,10
140897,10
140933,8
140952,9
141086,10
141197,11
141242,8
141356,10
141422,10
141430,8
141565,9
141600,9
141618,9
141637,9
141667,11
141695,8
141858,10
141958,9
141968,10
142022,8
142090,10
142319,10
142372,10
142390,9
142586,9
142614,9
142652,10
142662,10
142671,9
142726,10
142754,10
142773,9
142858,9
142927,10
142974,10
143047,9
143085,9
143119,8
143246,10
143266,10
143293,9
143407,10
143443,9
143489,10
143508,10
143605,10
143625,10
143643,9
143766,10
143915,9
143960,8
144026,9
144254,10
144263,9
144272,9
144337,10
144434,10
144509,10
144576,10
144612,9
144714,10
144768,9
144825,10
144990,9
145031,10
145135,10
145183,10
145231,8
145268,8
145278,10
145380,10
145389,9
145495,10
145514,10
145523,9
145589,9
145617,10
145625,8
145634,9
145895,9
146052,10
146099,11
146108,9
146127,9
146199,9
146749,9
146879,10
146888,9
146994,9
147004,10
147023,9
147041,8
147071,9
147080,9
147097,9
147306,9
147355,10
147382,9
147412,9
147460,11
147563,9
147653,10
147681,9
147690,9
147773,9
147831,10
147981,8
148036,9
148072,9
148158,9
148176,10
148257,8
148296,10
148352,9
148401,9
148457,9
148537,9
148603,9
148638,9
148725,10
148863,9
148928,10
148982,8
149019,10
149030,11
149206,10
149215,9
149234,9
149290,10
149317,9
149572,10
149630,9
149667,8
149695,9
149769,9
149787,9
149946,10
149956,10
150134,10
150143,9
150171,10
150235,9
150252,8
150328,10
150348,10
150358,10
150481,8
150500,10
150593,8
150621,10
150726,10
150756,10
150773,8
150792,9
150899,8
151056,10
151192,9
151247,10
151315,9
151391,9
151430,10
151496,10
151504,8
151514,10
151610,10
151808,9
151856,9
151906,9
151962,10
152055,10
152099,9
152156,10
152194,10
152204,10
152274,9
152303,10
152313,10
152333,10
152361,10
152369,8
152379,10
152442,9
152470,10
152480,10
152498,9
152516,9
152543,8
152552,9
152609,10
152669,9
152688,9
152718,11
152901,8
152918,9
152974,10
153038,9
153148,9
153330,9
153348,9
153498,9
153527,10
153544,9
153552,8
153727,9
153946,9
153974,10
154095,9
154169,9
154247,10
154257,10
154284,10
154303,10
154312,9
154441,9
154513,9
154722,9
154776,9
154805,10
154872,9
154990,10
155010,10
155020,10
155087,9
155253,9
155407,10
155474,9
155523,10
155533,10
155590,10
155711,8
155730,10
155785,9
155813,9
156032,10
156077,9
156197,9
156235,10
156404,10
156476,9
156692,10
156719,10
156729,10
156747,8
156765,8
156773,8
156811,10
156982,10
157020,10
157238,9
157354,8
157504,8
157606,8
157615,9
157752,9
157780,10
157879,9
157889,10
157918,9
158082,10
158119,10
158241,9
158287,9
158307,11
158326,9
158453,9
158498,9
158632,10
158641,9
158659,8
158705,8
158972,10
159056,10
159120,10
159156,9
159213,8
159268,9
159315,10
159343,9
159360,9
159505,10
159591,9
159667,9
159757,10
159820,9
159870,10
159888,9
159915,9
160003,10
160021,9
160073,8
160184,10
160231,10
160307,10
160327,10
160420,10
160439,10
160582,10
160684,10
160702,9
160742,10
160761,10
160854,9
160881,9
