Step,Value
292,9
547,18
584,14
737,25
963,23
1039,16
1069,16
1122,36
1176,54
1209,20
1370,30
1390,20
1411,21
1430,19
1652,18
1782,18
1847,65
1864,17
1881,17
1957,10
2131,13
2282,26
2430,17
2531,16
2565,34
2706,31
2822,30
3051,26
3112,26
3126,14
3417,50
3477,16
3493,16
3521,28
3686,31
3832,21
3882,21
3913,31
3976,10
4133,15
4152,19
4220,21
4339,27
4353,14
4389,21
4450,21
4490,11
4508,18
4563,41
4636,51
4648,12
4810,9
4999,60
5013,14
5036,23
5116,24
5346,8
5515,38
5597,40
5618,11
5729,26
6072,28
6201,24
6276,37
6343,33
6372,29
6395,8
6505,30
6644,57
6700,39
6828,39
7280,21
7400,19
7411,11
7510,29
7531,21
7609,37
7621,12
7656,10
7715,20
7842,52
7862,20
8033,27
8053,20
8066,13
8135,15
8373,20
8633,12
8902,17
8998,26
9075,21
9204,15
9282,12
9316,34
9332,16
9521,11
9610,14
9637,27
10018,12
10189,18
10372,15
10388,16
10418,16
10604,18
10821,17
10847,14
10857,10
10949,15
11058,16
11354,20
11490,78
11509,19
11712,17
11728,16
11929,26
12017,14
12031,14
12064,16
12154,28
12651,25
12818,53
12918,60
13026,26
13221,18
13384,20
13435,18
13493,17
13533,40
13589,19
13647,17
13767,32
13818,51
14046,22
14108,51
14245,52
14299,54
14440,55
14564,14
14581,17
14724,14
14760,12
14778,18
14810,15
14853,27
14878,25
15047,22
15082,35
15271,31
15329,27
15562,26
15627,44
15742,19
15871,26
15913,13
16143,20
16298,12
16339,41
16385,12
16396,11
16421,25
16454,33
16482,15
16571,61
16688,39
16869,12
17010,26
17114,10
17223,12
17247,24
17287,26
17306,19
17399,15
17420,21
17474,30
17502,28
17621,15
17629,8
17742,15
17814,16
17920,27
18034,19
18082,31
18137,17
18240,30
18347,12
18391,16
18408,17
18427,19
18485,58
18622,22
18910,39
18953,26
18967,14
19053,26
19123,22
19163,40
19235,35
19247,12
19274,27
19319,15
19357,21
19519,44
19603,41
19617,14
19668,19
19697,29
19713,16
19748,17
19765,17
19892,21
19996,10
20031,35
20058,13
20111,40
20203,67
20257,54
20278,21
20296,18
20401,105
20484,14
20582,20
20653,16
20725,53
20754,29
20792,38
20993,31
21011,18
21047,20
21105,20
21160,16
21245,22
21288,12
21312,24
21355,26
21408,36
21456,31
21633,47
21726,37
22418,54
22450,21
22476,26
22599,13
22658,40
22727,17
22804,32
22849,19
22935,27
22974,18
23108,134
23270,22
23357,17
23573,26
23614,41
23647,33
23676,29
23787,23
23822,20
23878,31
23911,33
23937,26
23978,41
24230,37
24257,27
24380,40
24581,16
24681,59
24928,26
24953,25
24987,17
25034,47
25078,44
25159,47
25180,21
25256,30
25507,100
25535,28
25759,70
25774,15
25810,36
25837,27
25945,39
25981,36
26000,19
26100,23
26122,22
26286,19
26423,18
26479,26
26523,26
26539,16
26766,85
26849,19
26874,25
26895,21
27012,27
27215,10
27274,28
27368,13
27391,23
27491,28
27580,16
27646,17
27862,14
28396,57
28427,22
28674,59
28697,23
28747,27
28804,12
28932,23
29101,72
29146,24
29300,30
29344,44
29377,33
29669,47
29716,47
29913,74
30013,28
30032,19
30052,20
30411,30
30494,20
30562,21
30764,16
30799,35
31086,36
31178,18
31776,30
31830,20
31910,20
31935,25
31994,59
32063,18
32112,49
32152,40
32908,34
33005,30
33046,14
33325,32
33348,23
33437,20
33511,39
33560,23
33626,36
33743,17
33808,14
33878,39
34047,57
34415,39
34542,21
34750,20
34786,36
34838,52
34894,33
35019,25
35100,19
35165,29
35260,41
35445,33
35554,64
35612,33
35638,26
35694,24
35711,17
35731,20
35885,38
36168,24
36327,17
36379,26
36525,15
36713,72
36731,18
36773,42
36810,37
36984,17
37048,33
37310,40
37405,20
37517,39
37556,39
37707,101
37859,19
37954,19
38095,15
38260,74
38284,24
38300,16
38318,18
38366,48
38615,64
39001,10
39330,128
39540,19
39669,38
39899,57
39951,21
40113,27
40173,60
40265,29
40281,16
40318,15
40356,38
40465,25
41256,65
41323,67
41373,50
41559,40
41738,38
41867,27
41928,61
41955,27
42127,37
42175,48
42207,32
42246,28
42362,22
42408,18
43066,40
43163,97
43418,15
43444,26
43930,56
44301,70
44350,49
44518,43
44662,43
44740,78
45072,27
45110,38
45126,16
45261,31
45358,64
45424,25
45727,54
45837,27
45876,39
45953,15
46259,12
46385,28
46823,22
47072,38
47121,49
47210,41
47245,35
47418,47
47658,46
47678,20
48103,39
48319,48
48427,44
48602,29
49056,98
49183,76
49397,112
49486,42
49524,38
49708,47
49965,16
50173,169
50367,30
50404,37
50558,29
50673,12
50759,20
50874,75
50996,51
51076,23
51173,25
51683,117
52029,30
52112,27
52219,38
52343,57
52373,30
52692,66
52739,47
52985,30
53067,22
53088,21
53197,109
53217,20
53425,153
53580,28
53920,70
53971,51
54167,20
54215,24
54301,86
54325,24
54678,25
54872,29
54917,24
54948,31
55008,32
55186,91
55275,89
55345,28
55385,40
55422,37
55590,84
55677,74
55730,31
56095,42
56240,48
56727,105
57068,86
57092,24
57373,76
57391,18
57479,88
57887,34
58235,46
58253,18
58544,39
58567,23
58716,70
59034,11
59121,59
59366,44
59916,38
59978,62
60233,51
60528,75
60658,46
60905,48
61189,20
61312,68
61355,43
61532,18
61557,25
61621,64
61684,29
61836,91
62599,188
63141,41
63352,55
63662,28
63677,15
63920,65
63963,43
63984,21
64257,30
64309,52
64526,43
64780,69
64840,60
64935,95
65124,140
65539,62
65659,16
65787,73
65992,86
66260,133
