Step,Value
36769,-274.549987792969
36862,-213.298446655273
37269,-49.0970687866211
37360,-19.2332592010498
37466,-32.806827545166
37598,73.9002304077148
37653,-210.318313598633
37979,-23.1157703399658
38939,139.363250732422
39121,-90.5380020141602
39216,-168.418548583984
39511,-182.524597167969
39580,-114.459594726563
39722,-52.7160263061523
39837,-190.688781738281
39922,23.8642425537109
40165,229.601577758789
41133,62.5675315856934
41237,36.8214378356934
41375,-134.495147705078
41462,76.5571670532227
41602,-175.947372436523
41688,44.3273582458496
41783,-14.4954786300659
42121,9.9697790145874
43121,-78.2606735229492
43551,265.174743652344
43672,-162.296249389648
43737,-154.802856445313
43811,-79.11865234375
43906,-98.9376678466797
44003,38.5295906066895
44205,-50.518180847168
44276,-181.934417724609
44338,-178.913452148438
45338,-18.4151096343994
46338,-159.694534301758
46575,249.142105102539
47575,-181.858795166016
47871,-56.4497451782227
48009,-3.27859568595886
48353,230.051498413086
48518,5.10660839080811
48635,-151.993698120117
48737,79.8487319946289
48806,-194.623504638672
48940,54.7859954833984
49168,296.892883300781
49308,4.86250400543213
49589,267.791809082031
49942,-14.0616283416748
50012,-57.0349655151367
50232,-3.64796710014343
50496,-26.278787612915
50574,-146.827529907227
50635,-229.978530883789
50773,62.3980560302734
51773,-14.7674674987793
51894,68.0875625610352
51979,-19.209005355835
52184,-47.2807807922363
53184,-184.921859741211
54169,-152.269821166992
54372,12.8302888870239
54480,-12.5959949493408
54706,320.374938964844
54849,60.9613723754883
55013,-58.3332862854004
55151,-145.031875610352
55252,-64.7388076782227
55458,-106.938903808594
56153,146.178756713867
56235,-49.7996025085449
56679,-284.285827636719
56826,-11.4292030334473
56963,-46.868408203125
57130,-40.8309211730957
57430,-59.9532279968262
57840,-105.41690826416
58014,32.7529335021973
58148,-160.154037475586
58519,222.067337036133
58617,-30.8747634887695
58829,-26.9408569335937
58999,-74.9596481323242
59277,-19.6821937561035
59421,-0.840993463993073
59612,-18.8401374816895
60217,204.921447753906
60564,-11.0698671340942
60851,-26.8212985992432
61001,4.19726753234863
61117,-175.25065612793
61194,-133.403793334961
61321,-165.3955078125
61693,21.4823780059814
61826,-129.566909790039
62178,259.005340576172
62304,-151.098556518555
62627,199.128112792969
62854,-258.109710693359
63029,-77.6082305908203
63279,-76.2381973266602
63542,-86.8431930541992
63678,-204.781661987305
63759,-200.325927734375
64174,161.666885375977
64591,193.58561706543
64813,-80.1986846923828
65024,-267.302154541016
65161,33.1154670715332
66089,90.776123046875
67089,-50.5811958312988
68030,60.1573486328125
68168,-176.996734619141
68435,-23.1146430969238
68653,276.106048583984
69123,218.321640014648
69262,52.2485122680664
69354,10.0103788375855
69483,-171.779098510742
69690,10.7750358581543
70009,-23.4132423400879
