Step,Value
195340,122
195840,500
196174,334
196434,260
196675,241
197017,342
197322,305
197759,437
198104,345
198354,250
198510,156
198868,358
199232,364
199542,310
199733,191
200025,292
200352,327
200852,500
201352,500
201474,122
201974,500
202474,500
202883,409
203383,500
203732,349
204138,406
204478,340
204821,343
205216,395
205508,292
206008,500
206290,282
206479,189
206978,499
207136,158
207383,247
207528,145
207686,158
208186,500
208585,399
208869,284
209262,393
209605,343
210105,500
210345,240
210527,182
210767,240
211264,497
211697,433
212036,339
212321,285
212697,376
213119,422
213347,228
213847,500
214314,467
214518,204
214648,130
214971,323
215278,307
215454,176
215889,435
216035,146
216535,500
216680,145
217164,484
217395,231
217743,348
217912,169
218185,273
218522,337
219018,496
219289,271
219789,500
219998,209
220159,161
220449,290
220864,415
221149,285
221504,355
222004,500
222473,469
222778,305
223278,500
223778,500
224152,374
224397,245
224600,203
224858,258
225011,153
225240,229
225369,129
225603,234
225798,195
225987,189
226141,154
226497,356
226806,309
227306,500
227502,196
227747,245
228247,500
228619,372
228925,306
229123,198
229416,293
229635,219
229856,221
230111,255
230611,500
231088,477
231253,165
231714,461
232214,500
232402,188
232902,500
233311,409
233811,500
234296,485
234492,196
234807,315
235307,500
235673,366
236014,341
236338,324
236838,500
237050,212
237187,137
237539,352
237878,339
238107,229
238550,443
238902,352
239122,220
239349,227
239830,481
240330,500
240637,307
240851,214
241351,500
241503,152
241883,380
242143,260
242378,235
242642,264
242829,187
243014,185
243514,500
243817,303
244149,332
244610,461
244806,196
245306,500
245435,129
245567,132
245749,182
246053,304
246306,253
246806,500
246946,140
247446,500
247814,368
248314,500
248799,485
248998,199
249498,500
249669,171
249844,175
250344,500
250519,175
250872,353
251372,500
251545,173
252045,500
252221,176
252480,259
252980,500
253204,224
253504,300
253702,198
253969,267
254407,438
254725,318
255080,355
255435,355
255777,342
255932,155
256141,209
256356,215
256611,255
256819,208
257041,222
257231,190
257731,500
258022,291
258393,371
258893,500
259228,335
259526,298
259808,282
260111,303
260360,249
260672,312
260987,315
261355,368
261711,356
262057,346
262431,374
262914,483
263079,165
263579,500
264079,500
264579,500
264798,219
265084,286
265198,114
265481,283
265711,230
265883,172
266143,260
266373,230
266635,262
266964,329
267226,262
267539,313
267751,212
267930,179
268430,500
268684,254
268873,189
269052,179
269361,309
269861,500
270077,216
270577,500
270928,351
271358,430
271760,402
271977,217
272318,341
272818,500
273318,500
273680,362
274155,475
274421,266
274791,370
275246,455
275541,295
275665,124
276165,500
276590,425
276970,380
277171,201
277436,265
277754,318
277887,133
278213,326
278446,233
278904,458
279145,241
279359,214
279760,401
280249,489
280749,500
281092,343
281264,172
281683,419
281803,120
282080,277
282425,345
282792,367
283292,500
283721,429
284001,280
284429,428
284929,500
285358,429
285586,228
286019,433
286267,248
286407,140
286839,432
287079,240
287579,500
287858,279
288136,278
288452,316
288719,267
288936,217
289103,167
289237,134
289360,123
289699,339
290052,353
290261,209
290495,234
290708,213
291208,500
291508,300
292008,500
292345,337
292655,310
293006,351
293506,500
293798,292
294004,206
294273,269
294773,500
294947,174
295257,310
295565,308
295931,366
296183,252
296322,139
296822,500
297173,351
297673,500
297937,264
298437,500
298937,500
299404,467
299904,500
