Step,Value
185,8
415,9
441,8
546,9
680,9
894,11
1465,10
1494,9
1578,10
2152,8
2197,9
2389,9
2499,10
2556,10
2887,9
2904,9
2984,9
3258,10
3446,10
3955,10
4150,10
4318,9
4447,10
5026,8
5278,10
5429,10
5495,11
5505,10
5811,10
5939,8
6060,10
6191,10
6280,8
6687,11
6761,8
6834,9
7165,8
7200,9
7218,9
7351,9
7370,11
7435,8
7511,10
7567,9
7826,10
8849,8
9014,9
9099,10
9107,8
9160,9
9214,10
9382,9
9408,9
9491,9
9949,8
9977,9
10032,10
10089,10
10233,10
10290,10
10337,9
10822,8
10869,9
10879,10
11051,10
11170,10
11641,8
11797,10
12306,9
12333,9
12468,9
12507,9
12953,9
13021,10
13224,9
13337,10
13433,8
13717,9
13819,10
13896,10
13953,10
14247,8
14521,9
14674,10
14824,10
14863,10
15025,10
15359,8
15751,8
15837,9
15891,10
15937,9
15999,10
16085,10
16219,10
16239,10
16267,9
16679,9
17092,8
17260,10
17345,9
17466,9
17492,8
17568,10
17943,8
18101,9
18193,10
18220,10
18401,10
18717,10
18832,9
19047,10
19397,10
19424,9
19433,9
19507,9
19546,10
19615,9
20116,8
20182,9
20267,10
20473,9
20511,9
20586,8
20662,10
20699,8
20887,9
20932,10
20941,9
20986,8
21122,9
21169,9
21345,10
21489,8
21580,10
21693,10
21935,8
22019,11
22347,11
22357,10
22376,10
22782,9
22854,10
22940,10
22958,10
23005,10
23235,10
23244,9
23342,10
23362,10
23410,10
23540,8
23594,9
23679,9
23816,9
23872,10
24379,10
25116,9
25162,8
25283,9
25629,10
25763,9
26096,9
26872,10
27089,8
27310,8
27746,8
27824,11
28169,10
28350,10
28426,9
28455,10
28995,8
29518,9
29575,10
29725,9
29898,9
29907,9
30228,10
30322,10
30352,10
30360,8
30380,11
30388,8
30621,8
30930,10
31306,9
31593,8
31845,9
31892,9
32099,10
32277,9
32422,9
32574,8
32846,11
32873,9
33108,10
33713,9
33885,10
33905,9
33922,9
33977,10
34233,10
34363,9
34881,10
34917,9
35020,10
35504,9
35547,9
35701,10
35750,9
35769,9
35863,9
36172,10
36281,8
36768,8
36871,9
37027,10
37290,10
37647,9
37752,9
37781,10
38319,10
38364,8
38468,9
39156,8
39258,10
39266,8
39285,10
39335,10
39345,10
39587,10
39636,10
39666,10
39738,9
39929,10
39957,9
40108,11
40309,9
40431,10
40451,10
40917,9
41145,9
41209,10
41267,10
41489,10
41518,10
42077,9
42239,8
42429,8
42459,10
42882,9
42908,8
43057,10
43350,9
43614,10
43690,9
43729,9
43807,10
44157,10
44202,9
44508,10
44581,9
44663,8
44856,10
44968,9
44985,8
45338,10
45452,10
45632,9
45846,9
46473,10
46555,9
46582,10
47301,9
47320,9
47329,9
47825,10
48011,10
48085,9
48527,10
48697,10
48770,10
49065,10
49533,9
49912,9
50065,9
50194,9
50386,10
50756,8
50962,9
51008,9
51458,9
51647,10
51666,10
51971,10
52191,10
52322,9
52728,8
52987,9
53005,9
53041,8
53182,11
53574,10
53600,9
54089,8
54381,9
54390,9
54554,9
54581,8
54895,10
54915,10
54982,9
55327,10
55524,9
55747,10
55790,9
55848,10
56101,8
56289,9
56337,10
