Step,Value
762,-234.125442504883
946,-566.923400878906
1511,-408.132598876953
1619,-61.6192321777344
1858,-346.259246826172
2105,-215.280532836914
2183,-67.2385330200195
2321,-110.524765014648
2430,-90.2259902954102
2511,-474.618072509766
2653,-83.7195281982422
2763,-334.055358886719
3277,-146.584243774414
4556,-76.0691986083984
4662,-200.507293701172
4998,-130.872116088867
5309,-153.064758300781
5437,-358.058013916016
5643,-95.7962112426758
5915,-283.836395263672
6031,-56.1120948791504
6315,-35.2161636352539
6532,-125.24097442627
6654,-240.001831054687
7042,-98.0643844604492
7224,-98.210823059082
7382,-40.3649597167969
7480,-61.1618309020996
7577,-92.252082824707
7940,-260.30224609375
8037,-112.320274353027
8311,-378.617004394531
8618,-247.669982910156
8828,-439.027618408203
8937,-209.02473449707
9042,-234.735931396484
9346,-76.608039855957
9423,-71.7229156494141
9563,-162.302856445313
9781,-400.451873779297
10114,-110.7509765625
10482,-197.803253173828
11183,-38.3494567871094
11300,-11.0539722442627
11463,-331.322998046875
11609,-457.772155761719
11764,-206.508773803711
11958,-205.316940307617
12611,-128.311111450195
13670,-245.74479675293
13959,-31.3079986572266
14055,-322.585418701172
15042,-75.5006408691406
15425,-34.3112144470215
15632,-160.376235961914
15788,-133.908172607422
15953,-261.091613769531
16533,-285.406066894531
16678,-293.32666015625
16838,-183.606903076172
17303,-374.609832763672
17552,-194.839981079102
17876,-370.236755371094
18378,-223.543655395508
18682,-214.909240722656
18886,-151.845352172852
18975,-58.1424140930176
19152,-362.049346923828
19262,-97.1864624023437
19614,-106.91332244873
19893,-9.29227733612061
20176,-371.049896240234
20609,-407.906219482422
20752,-77.9645538330078
21000,-417.642791748047
21287,-302.559722900391
21438,-529.287231445313
21526,-67.6730651855469
21861,-107.267677307129
22146,-198.547912597656
22285,-454.892608642578
22593,-239.293930053711
22699,-126.480056762695
23073,-27.4989032745361
23626,-63.6074714660645
23753,-246.943588256836
23874,-45.7288818359375
23965,-266.787109375
24396,-140.291687011719
24519,-330.0078125
24694,-64.1235656738281
24977,-25.859058380127
25189,-440.954742431641
25410,-237.069915771484
25502,-271.063354492187
25757,-447.113555908203
25905,-122.290199279785
26872,-405.863952636719
27334,-84.1526412963867
27749,-285.588470458984
27878,-240.576919555664
27991,-161.278717041016
28623,-112.774642944336
28738,-18.4646072387695
28942,-85.7686157226562
29437,-22.4196548461914
29654,-369.514770507813
30081,-295.168548583984
30177,-232.818237304688
30404,-250.990707397461
30550,-268.022216796875
30660,-346.728759765625
30903,-295.652252197266
31139,-256.647674560547
31289,-114.523002624512
31436,-300.743988037109
31569,-91.0912551879883
31719,-122.271797180176
32049,-271.614685058594
32403,-43.3707046508789
32825,-127.110466003418
33050,-381.745452880859
33336,-90.0071029663086
33525,-64.5876312255859
33615,-285.010101318359
34495,-240.204360961914
34838,-48.3782958984375
34977,-261.026458740234
35074,-284.233551025391
35256,-320.905700683594
35482,-209.515930175781
36145,-295.685638427734
36368,-145.33137512207
36626,-140.212295532227
36851,-3.44193458557129
37571,-222.251968383789
37922,-362.3779296875
38535,-148.949142456055
39210,-177.912521362305
39429,-229.500015258789
39522,-97.6638641357422
39955,-148.586212158203
40179,-285.804870605469
40349,-374.591613769531
40467,-440.960479736328
40789,-214.182708740234
40893,-279.993408203125
41028,-112.572067260742
41657,-46.0551948547363
41790,-95.8932876586914
42100,-155.079025268555
42482,-191.211669921875
43797,19.2457866668701
43897,-213.032516479492
44026,1.26294136047363
44118,-11.7573909759521
44426,-399.908447265625
44763,-319.228271484375
44867,-37.2513465881348
44953,-62.8963050842285
45487,-393.094512939453
45579,-166.895462036133
45783,-63.7297477722168
46907,-196.743041992188
47218,-349.253082275391
47649,-102.083076477051
47753,-196.219131469727
47999,-90.8271255493164
48149,-114.15306854248
48867,-83.3698883056641
48968,-73.4393157958984
49241,-204.55517578125
49441,-232.857116699219
49552,-282.283111572266
49652,-368.442932128906
49961,-70.7846832275391
50152,-251.275604248047
50263,-159.066787719727
50588,-138.495559692383
50706,-311.618408203125
50910,-42.0876274108887
51010,-23.2990684509277
51233,-189.74186706543
51486,-240.693511962891
51674,-167.211013793945
51794,-269.005645751953
51960,-239.936874389648
52228,-151.226089477539
52343,-16.1058959960938
52733,10.6402750015259
52835,-200.145477294922
52924,-212.783126831055
53025,-96.2315979003906
53321,-132.955047607422
53422,-173.443206787109
53621,-376.081512451172
53721,-212.8046875
55869,-399.956848144531
55990,-177.578765869141
56320,-195.742645263672
56897,-170.483535766602
57836,-97.1587982177734
57924,-5.00833463668823
58531,-272.800445556641
58645,-203.566284179688
58795,-267.853210449219
59036,-220.457946777344
59304,-344.56103515625
59919,-221.367919921875
61320,-276.781066894531
61484,-444.913665771484
61583,-207.008117675781
61731,-113.948799133301
61977,-184.470642089844
62136,-124.056663513184
62460,-302.335510253906
62850,-40.6030731201172
63727,-238.82698059082
63817,-240.153182983398
63918,-239.466766357422
64172,-294.844940185547
64308,-222.926742553711
64681,-107.259719848633
64805,-243.406188964844
64955,-59.6950874328613
65204,-217.172668457031
65400,-91.413932800293
65510,-219.679412841797
65886,-221.712448120117
66077,-36.9164886474609
66197,-127.401100158691
66626,-79.6864929199219
67610,-401.83740234375
67915,-75.4098510742188
68058,-426.574554443359
68381,-268.946838378906
68778,-251.75163269043
69307,-286.78466796875
70352,-183.454223632813
70797,-232.563735961914
71182,-28.6770877838135
71310,-127.54483795166
71411,-61.0998764038086
71806,-471.336029052734
72044,-26.0358695983887
72282,-261.030670166016
72471,-158.610626220703
73190,-190.713119506836
73329,-66.0026702880859
74054,-66.8311233520508
74382,-216.691589355469
74560,-251.855865478516
74784,-284.365936279297
74968,-362.748962402344
75089,-101.180923461914
75205,-16.2902336120605
75341,-88.4098358154297
75431,-70.3639907836914
75554,-150.810974121094
75679,-80.0259780883789
75935,-231.359329223633
76366,-184.091094970703
76488,-212.329360961914
76654,-79.16259765625
76955,-258.670013427734
78476,-155.933883666992
78693,-300.484497070312
78903,-231.210067749023
79136,-289.303771972656
79702,-278.747375488281
79897,-270.908935546875
80115,-193.476470947266
80367,-135.981628417969
80578,-234.843811035156
80875,-68.8206024169922
81078,-132.665939331055
81213,-356.742340087891
81595,11.6952476501465
81828,-213.144500732422
81953,-75.8944702148438
82041,-58.2484474182129
82182,-206.453796386719
82280,-170.030899047852
82403,-220.507049560547
82827,-175.428176879883
83028,-409.174682617187
83631,-47.8810119628906
83722,-97.948356628418
84050,-325.64306640625
84205,-322.673248291016
84389,-81.2106781005859
84521,-20.4720115661621
84769,-192.012283325195
85060,-186.313568115234
85314,-124.143608093262
85635,-203.847625732422
85818,-176.795776367188
86057,-50.7908363342285
