Step,Value
218929,8
219031,10
219924,9
220267,8
220493,9
220577,10
220633,9
221062,9
221089,10
221270,9
221444,9
222498,10
222572,8
222630,9
223220,10
223587,10
223783,9
224347,8
224470,10
224565,10
224603,9
225037,8
225706,8
225914,9
226079,9
226272,10
226521,10
226830,10
226913,10
227445,10
227957,10
228199,9
228246,10
228915,9
228953,8
229257,10
229718,8
230204,10
230302,10
230311,9
230552,9
230641,9
230769,8
231161,10
231399,8
232094,11
232714,10
233002,9
233326,9
233542,9
233896,9
233943,9
233989,9
234326,9
234396,9
234523,9
234624,8
234793,10
234812,10
235029,9
235038,9
235048,10
235077,9
235250,9
235578,10
235736,10
235864,10
236059,10
236152,10
236225,8
236318,9
236773,10
236844,8
237140,8
237272,10
237331,10
237462,10
237549,10
237617,10
237627,10
237666,9
237901,9
237997,10
238033,10
238183,9
238315,9
238645,9
238722,10
238821,9
239284,10
239294,10
239341,9
239596,10
239954,8
240999,9
241086,11
241239,9
241268,10
241355,10
241622,9
241934,9
241942,8
242020,8
242049,9
242409,11
242643,10
242801,10
243204,10
243425,10
243630,9
243891,10
244400,9
244428,10
244818,10
244891,9
245652,8
245662,10
246463,8
246541,9
246960,10
247520,10
248096,9
248159,8
248431,10
248774,8
248940,10
249334,8
249785,9
250163,10
250404,10
250581,10
250627,8
250839,10
250888,10
250937,10
251052,10
251245,9
251674,8
251865,9
252214,8
252370,9
252914,10
253261,9
253327,10
253363,10
253595,10
253839,10
254595,10
254621,8
254666,10
255137,10
255322,9
255461,8
255490,9
255695,9
255749,9
255966,9
256193,10
256210,9
256336,9
256700,9
256760,10
256891,9
256995,9
257086,10
257524,9
257591,9
257628,8
257685,9
258237,10
258492,10
258705,10
259360,8
259450,8
259559,10
259867,10
259945,9
260031,9
260097,9
260467,10
260585,8
260630,8
260688,10
260719,10
261431,9
261440,9
261460,10
261867,10
261895,9
262182,9
262387,9
262433,9
262463,10
262512,11
262895,10
263032,9
263172,9
263257,10
263274,8
263453,8
263641,9
263735,10
263871,10
264254,10
264275,10
264474,9
264690,8
265082,9
265202,10
265210,8
265391,10
265402,11
265420,9
265467,10
265573,9
266254,10
266599,10
266608,9
266769,10
266804,8
267141,9
267428,8
267437,9
267467,10
267476,9
267788,9
267835,9
267917,8
268149,10
268462,10
268691,10
268700,9
269040,10
269391,8
269763,10
269818,9
269838,10
269848,10
270134,9
270220,9
270259,10
270856,10
271466,10
271689,9
271841,9
272473,9
272499,9
272546,8
273180,10
273347,8
274056,11
274421,10
274430,9
275002,8
275125,11
275227,10
275581,9
275711,10
275870,10
275989,9
276257,9
276266,9
276649,9
276873,9
276931,10
277123,10
277174,8
277375,9
277429,8
277873,9
277993,9
278546,9
278840,9
278905,9
279697,9
279888,10
280920,10
281152,10
281172,10
281273,10
281526,10
281590,8
281690,9
281737,9
281806,10
281816,10
281945,9
282207,9
282764,9
282849,9
282875,8
283190,9
283265,9
283570,10
283589,9
283636,9
283938,9
284117,9
284789,8
284808,9
284941,9
285264,9
285940,8
286006,9
286121,9
286579,11
286600,11
286707,11
286716,9
286763,10
287340,8
287538,10
287565,9
287573,8
287790,10
288926,8
288964,9
288973,9
289133,10
289273,10
289368,10
289474,9
289523,10
289532,9
289570,10
289610,11
289666,10
289892,8
289987,9
290228,8
290244,8
290331,9
290648,10
290862,10
291176,10
291333,9
291554,10
291732,9
291863,8
292167,11
293242,10
293709,10
294283,9
294472,10
294576,10
294766,9
295318,8
295437,10
295784,10
295973,10
296076,9
296889,10
296983,10
297792,10
298294,9
298643,10
298661,8
298932,9
299300,10
299739,9
300003,9
